Id,Source,Nucleotide Accession,Start,Stop,Strand,Protein,Protein Name,Organism,Strain,Assembly,len
53702978,RefSeq,NZ_JANV01000006.1,10992,11729,-,WP_025907183.1,hypothetical protein,Priestia flexa T6186-2,T6186-2,GCF_000612165.1,738
462397573,INSDC,BK018356.1,12580,13317,-,DAG59579.1,DNA terminal protein,Caudoviricetes sp.,,,738
463639334,INSDC,BK021179.1,1901,2641,+,DAL72431.1,hypothetical protein,Caudoviricetes sp.,,,741
462626536,INSDC,BK017080.1,9683,10420,+,DAF70395.1,terminal protein,Caudoviricetes sp.,,,738
444706766,INSDC,JAFZEN010000025.1,7972,8682,+,MBR4954405.1,hypothetical protein,Clostridia bacterium,,GCA_017560675.1,711
462617090,INSDC,BK016585.1,11049,11759,+,DAG82535.1,DNA terminal protein,Caudoviricetes sp.,,,711
466426138,INSDC,BK036664.1,1507,2223,+,DAW46081.1,hypothetical protein,Caudoviricetes sp.,,,717
452438958,INSDC,JAHAAJ010000056.1,1536,2252,+,MBS6498078.1,hypothetical protein,Klebsiella oxytoca,,GCA_018376935.1,717
466442144,INSDC,BK037030.1,3384,4091,+,DAW65151.1,hypothetical protein,Caudoviricetes sp.,,,708
692862934,RefSeq,NZ_CABVDY010000072.1,3485,4195,-,WP_308698242.1,hypothetical protein,uncultured Thomasclavelia sp.,,GCF_902497155.1,711
465657431,INSDC,BK051570.1,12406,13122,-,DAU65350.1,terminal protein,Caudoviricetes sp.,,,717
29228050,RefSeq,NZ_AKKB01000094.1,11834,12559,-,WP_007784052.1,hypothetical protein,Brevibacillus sp. CF112,CF112,GCF_000282015.1,726
463684440,INSDC,BK051648.1,13368,14090,-,DAM29426.1,hypothetical protein,Caudoviricetes sp.,,,723
832331372,INSDC,JAYNJB010000027.1,5152,5877,+,MEK9694695.1,hypothetical protein,Candidatus Poseidoniales archaeon,,GCA_038109665.1,726
462406533,INSDC,BK029952.1,3371,4096,+,DAI06825.1,hypothetical protein,Caudoviricetes sp.,,,726
433358534,INSDC,JAFONU010000182.1,255,980,-,MBQ1570579.1,hypothetical protein,Clostridiales bacterium,,GCA_017418335.1,726
627033523,INSDC,JAQWED010000281.1,2411,3136,+,MDD4439122.1,hypothetical protein,Tissierellia bacterium,,GCA_028705105.1,726
465713213,INSDC,BK047030.1,9989,10708,+,DAT89030.1,"PURINE NUCLEOTIDE SYNTHESIS REPRESSOR/DNA Complex REGULATION, DNA-BINDING, REPRESSOR, PURINE",Caudoviricetes sp.,,,720
466589431,INSDC,BK039483.1,2463,3182,+,DAX41999.1,hypothetical protein,Caudoviricetes sp.,,,720
463599049,INSDC,BK047563.1,4628,5347,-,DAK66860.1,Phi-29 DNA terminal protein GP3,Caudoviricetes sp.,,,720
295551025,INSDC,RGKA01000088.1,1,721,-,NCV28323.1,NAD-dependent epimerase/dehydratase family protein,Nitrosomonadales bacterium,,GCA_010022975.1,721
461744015,INSDC,BK019891.1,2710,3429,+,DAE89209.1,hypothetical protein,Caudoviricetes sp.,,,720
600669714,INSDC,JAPJNE010000272.1,96,698,+,MCX8482533.1,hypothetical protein,Crocinitomicaceae bacterium,,GCA_026461285.1,603
684340921,INSDC,JASMFQ010000219.1,2155,2757,-,MDP7367034.1,hypothetical protein,Candidatus Paceibacterota bacterium,,GCA_030751725.1,603
293695730,INSDC,RGCK01000585.1,1117,1719,+,NBP58177.1,hypothetical protein,Candidatus Elulimicrobium humile,,GCA_009919195.1,603
321581491,INSDC,LR796388.1,79077,79679,-,CAB4141269.1,DNA end protector protein,uncultured Caudovirales phage,,GCA_902985435.1,603
295523451,INSDC,RGIZ01000643.1,938,1543,-,NCV19663.1,hypothetical protein,Rhodobacterales bacterium,,GCA_010023485.1,606
561683241,INSDC,ON758385.1,89295,89900,+,USV40937.1,DNA end protector protein,Xanthomonas phage BUDD,,GCA_024182555.1,606
321580889,INSDC,LR796380.1,86639,87238,+,CAB4140756.1,DNA end protector protein,uncultured Caudovirales phage,,GCA_902985415.1,600
462629574,INSDC,BK017141.1,3004,3603,-,DAF73817.1,DNA terminal protein,Caudoviricetes sp.,,,600
463641372,INSDC,BK021235.1,3424,4023,+,DAL74984.1,DNA terminal protein,Caudoviricetes sp.,,,600
44060528,RefSeq,NC_027204.1,73218,73820,+,YP_009143037.1,DNA end protector,Sinorhizobium phage phiM12,,GCF_001023565.1,603
169754559,INSDC,MG198570.1,2529,3128,-,ATV46198.1,hypothetical protein,Lake Baikal phage Baikal-20-5m-C28,,GCA_002956535.1,600
179953899,INSDC,NZEE01000076.1,407,1012,-,MAH43595.1,hypothetical protein,archaeon,,GCA_002688965.1,606
502244960,INSDC,JAFIGC010000042.1,10695,11303,-,MCC5848332.1,hypothetical protein,Verrucomicrobiota bacterium,,GCA_020831635.1,609
547315898,INSDC,JAGLQU010000881.1,697,1305,-,MCK5020812.1,hypothetical protein,Candidatus Peribacteraceae bacterium,,GCA_023136675.1,609
611223674,INSDC,JAQCFA010000248.1,2185,2793,-,MDA0778880.1,hypothetical protein,Bacteroidota bacterium,,GCA_027618385.1,609
207893623,INSDC,DPHC01000024.1,4106,4714,-,HCG91928.1,hypothetical protein,Dehalococcoidia bacterium,,GCA_003523055.1,609
167835050,INSDC,NVVV01000063.1,19596,20207,-,PHS22110.1,hypothetical protein,Robiginitomaculum sp.,,GCA_002733495.1,612
303412999,INSDC,MN988519.1,23715,24326,-,QIG70602.1,DNA end protector protein,Rhizobium phage RHph_I1_18,,GCA_016835605.1,612
541321549,INSDC,OM982621.1,85890,86501,-,UOL48750.1,DNA end protector protein,Pseudomonas phage Astolliot,,GCA_022984295.1,612
321568173,INSDC,LR796208.1,3728,4333,-,CAB4126602.1,DNA end protector protein,uncultured Caudovirales phage,,GCA_902983645.1,606
465645083,INSDC,BK051310.1,10140,10745,+,DAU51931.1,DNA end protector protein,Caudoviricetes sp.,,,606
482030323,INSDC,MZ577095.1,60418,61011,-,QZI94395.1,hypothetical protein,Methylophilales phage Melnitz-1 EXVC043M,,GCA_020474755.1,594
322325505,INSDC,JABDMG010000039.1,9485,10078,+,NND23273.1,hypothetical protein,Acidimicrobiia bacterium,,GCA_013001605.1,594
333389430,INSDC,LR798287.1,107179,107772,+,CAB5221343.1,DNA end protector protein,uncultured Caudovirales phage,,GCA_903232595.1,594
618293676,INSDC,JAOJPH010000009.1,470,1063,+,MDB4443317.1,hypothetical protein,Saprospiraceae bacterium,,GCA_028262585.1,594
832329551,INSDC,JAYNJB010000211.1,1074,1667,+,MEK9696048.1,hypothetical protein,Candidatus Poseidoniales archaeon,,GCA_038109665.1,594
333389623,INSDC,LR798288.1,57422,58009,-,CAB5221146.1,DNA end protector protein,uncultured Caudovirales phage,,GCA_903232635.1,588
465663826,INSDC,BK045839.1,19374,19961,-,DAT28482.1,DNA end protector protein,Caudoviricetes sp.,,,588
176820837,INSDC,MUGE01000023.1,1669,2259,-,PNX48684.1,hypothetical protein,Thermoplasmata archaeon M11B2D,,GCA_002900545.1,591
321565373,INSDC,LR796178.1,26481,27071,+,CAB4124124.1,DNA end protector protein,uncultured Caudovirales phage,,GCA_902983345.1,591
459285823,INSDC,QLUM01000027.1,10136,10726,+,MBT9159405.1,hypothetical protein,Chloroflexota bacterium,,GCA_018725405.1,591
615890572,INSDC,JAOGXC010000005.1,12996,13586,-,MDA9007811.1,hypothetical protein,Porticoccaceae bacterium,,GCA_028111745.1,591
321566117,INSDC,LR796186.1,129059,129652,+,CAB4125511.1,DNA end protector protein,uncultured Caudovirales phage,,GCA_902983445.1,594
810374639,INSDC,PP209424.1,109096,109695,+,WVX87484.1,DNA end protector,Vibrio phage EniLVp02,,GCA_036852305.1,600
817032155,INSDC,PP272799.1,1,600,+,WWQ49653.1,pTP,Northern spotted skink adenovirus,,,600
293415046,INSDC,RFWU01000195.1,974,1573,-,NBX50143.1,hypothetical protein,bacterium,,GCA_009925725.1,600
405167140,INSDC,VGLZ01000001.1,17919,18518,+,MBM3202293.1,hypothetical protein,Candidatus Woesearchaeota archaeon,,GCA_016866615.1,600
433207059,INSDC,JAFONJ010000064.1,2275,2872,+,MBQ1550842.1,hypothetical protein,Bacilli bacterium,,GCA_017418525.1,598
621175114,INSDC,JAOELD010000001.1,31773,32372,-,MDC1282348.1,hypothetical protein,bacterium,,GCA_028380145.1,600
293044743,INSDC,RFPU01000039.1,3879,4475,-,NBW56883.1,hypothetical protein,bacterium,,GCA_009926025.1,597
295639788,INSDC,RGQQ01000011.1,9196,9792,-,NDH49144.1,hypothetical protein,Pseudomonadota bacterium,,GCA_010032435.1,597
207456153,INSDC,DOZD01000122.1,2906,3502,-,HCC73139.1,hypothetical protein,Methylophilaceae bacterium,,GCA_003518185.1,597
321604031,INSDC,LR796815.1,135654,136250,-,CAB4168152.1,DNA end protector protein,uncultured Caudovirales phage,,GCA_902989765.1,597
463800752,INSDC,BK043661.1,2000,2596,+,DAJ62286.1,DNA end protector protein,Bacteriophage sp.,,,597
463544659,INSDC,BK031439.1,13043,13639,-,DAL15396.1,DNA terminal protein,Caudoviricetes sp.,,,597
330911546,INSDC,DUZG01000086.1,2905,3546,-,HIJ51414.1,hypothetical protein,Nitrospinota bacterium,,GCA_013349585.1,642
428801364,INSDC,JAGBAI010000003.1,11312,11953,+,MBP3683382.1,hypothetical protein,Oscillospiraceae bacterium,,GCA_017939025.1,642
549393704,INSDC,JALNYV010000002.1,31165,31800,+,MCK9369128.1,hypothetical protein,Candidatus Dojkabacteria bacterium,,GCA_023229785.1,636
463686034,INSDC,BK051693.1,197093,197731,-,DAM31263.1,DNA end protector protein,Ackermannviridae sp.,,,639
627034707,INSDC,JAQWED010000001.1,14472,15110,+,MDD4436418.1,hypothetical protein,Tissierellia bacterium,,GCA_028705105.1,639
321621018,INSDC,LR797523.1,25308,25958,+,CAB4221991.1,DNA end protector protein,uncultured Caudovirales phage,,GCA_902996675.1,651
465553625,INSDC,BK054684.1,18893,19543,-,DAU74324.1,DNA end protector protein,Caudoviricetes sp.,,,651
615888758,INSDC,JAOGWT010000005.1,4089,4742,-,MDA9002828.1,hypothetical protein,bacterium,,GCA_028111555.1,654
463777475,INSDC,BK043257.1,17425,18081,-,DAJ41877.1,DNA end protector protein,Ackermannviridae sp.,,,657
744728591,INSDC,DAOLPE010000010.1,19141,19794,+,HQL66766.1,hypothetical protein,Caldisericia bacterium,,GCA_035417445.1,654
205326844,INSDC,DNBL01000349.1,13008,13652,-,HAW81271.1,hypothetical protein,Balneola sp.,,GCA_003491885.1,645
321043514,INSDC,DUBF01000183.1,7504,8148,+,HIF60666.1,hypothetical protein,Rhodospirillales bacterium,,GCA_012960465.1,645
715865346,INSDC,JAWWAS010000001.1,128394,129038,+,MDX1532762.1,hypothetical protein,Nitrosopumilaceae archaeon,,GCA_033721355.1,645
109529944,RefSeq,NC_041881.1,99654,100301,-,YP_009595607.1,DNA end protector,Pseudomonas phage pf16,,GCF_002609525.1,648
465799235,INSDC,BK033632.1,13413,14060,-,DAR80535.1,DNA end protector protein,Caudoviricetes sp.,,,648
327831553,INSDC,JABSRW010000642.1,446,1093,-,NRA93805.1,hypothetical protein,Psychroserpens sp.,,GCA_013214685.1,648
621609075,INSDC,JAONPW010000002.1,22631,23245,+,MDC3266484.1,hypothetical protein,bacterium,,GCA_028412435.1,615
293367601,INSDC,RFVT01000113.1,2747,3361,+,NBT09028.1,hypothetical protein,Chitinophagia bacterium,,GCA_009922485.1,615
620235913,INSDC,JAOLCN010000001.1,97478,98092,+,MDB9900016.1,hypothetical protein,bacterium,,GCA_028339675.1,615
466468435,INSDC,BK028423.1,23830,24444,-,DAV42544.1,DNA end protector protein,Caudoviricetes sp.,,,615
321573848,INSDC,LR796270.1,34002,34613,+,CAB4133015.1,DNA end protector protein,uncultured Caudovirales phage,,GCA_902984315.1,612
465072885,INSDC,BK022677.1,17356,17967,-,DAN40356.1,hypothetical protein,Caudoviricetes sp.,,,612
696516639,RefSeq,NZ_JARLJR010000083.1,63822,64436,-,WP_347573077.1,hypothetical protein,Legionella sp.,,GCF_031291095.1,615
621670818,INSDC,JAONWZ010000002.1,27361,27978,-,MDC3384680.1,hypothetical protein,bacterium,,GCA_028415475.1,618
295416323,INSDC,RHCS01000507.1,834,1457,-,NDB79941.1,hypothetical protein,archaeon,,GCA_010028545.1,624
631443734,INSDC,JAGWHL010000382.1,400,1029,+,MDE1868141.1,hypothetical protein,Nitrososphaerota archaeon,,GCA_028866855.1,630
576630199,INSDC,OP073909.1,2823,3455,+,UVY46980.1,DNA terminal protein,Bacteriophage sp.,,GCA_029976615.1,633
42550433,RefSeq,NC_025422.1,131410,132042,+,YP_009099002.1,DNA end protector,Caulobacter phage Cr30,,GCF_000927355.1,633
179747607,RefSeq,NZ_NZML01000052.1,3149,3769,-,WP_286970284.1,hypothetical protein,Algoriphagus sp.,,GCF_002694565.1,621
105911474,INSDC,KU682439.2,138996,139613,-,AMQ65969.1,DNA end protector protein,Stenotrophomonas phage vB_SmaS-DLP_6,,GCA_002606585.1,618
625758772,INSDC,JAQVOC010000001.1,32669,33289,-,MDD4242720.1,hypothetical protein,Bacilli bacterium,,GCA_028702815.1,621
465821099,INSDC,BK034132.1,21669,22289,-,DAS06867.1,DNA end protector protein,Caudoviricetes sp.,,,621
333428347,INSDC,LR798211.1,20829,23021,+,CAB5187341.1,Pectate lyase superfamily protein,uncultured Caudovirales phage,,GCA_903231815.1,2193
675907464,RefSeq,NZ_JAUNSF010000011.1,30437,32623,+,WP_303334625.1,glycosyl hydrolase family 28-related protein,Sutterella sp.,,GCF_030539355.1,2187
96608096,RefSeq,NZ_LMFK01000012.1,368794,370992,+,WP_057224723.1,hypothetical protein,Ensifer sp. Root142,Root142,GCF_001426785.1,2199
220728476,RefSeq,NZ_QTPW01000007.1,204127,206304,-,WP_124833324.1,glycosyl hydrolase family 28-related protein,Burkholderia sp. Bp9031,Bp9031,GCF_003857965.1,2178
141525867,INSDC,MWAH01000135.1,532,2766,-,OPZ86633.1,Pectate lyase superfamily protein,bacterium ADurb.Bin429,,GCA_002068615.1,2235
374111632,INSDC,JADNYJ010000046.1,167180,170838,-,KAF8900737.1,"exo-beta-1,3-glucanase",Gymnopilus junonius,AH 44721,GCA_015501075.1,3659
442906200,INSDC,JAFYKW010000140.1,275,2494,+,MBR4282523.1,hypothetical protein,Clostridia bacterium,,GCA_017537425.1,2220
329573049,RefSeq,NZ_CP124967.1,1349048,1351279,+,WP_174069647.1,glycosyl hydrolase family 28-related protein,Agrobacterium tumefaciens,O54/95,GCF_013317615.2,2232
21605368,RefSeq,NC_014899.1,8925,14364,-,YP_004123739.1,pTP,Murine adenovirus 2,,GCF_000889615.1,5440
821911953,INSDC,JBAWXS010000158.1,2926,5150,+,MEI8195201.1,glycosyl hydrolase family 28-related protein,Phycisphaerae bacterium,,GCA_037143975.1,2225
544046328,RefSeq,NZ_BBYM01000005.1,160386,162503,+,WP_245646753.1,glycosyl hydrolase family 28-related protein,Microtetraspora niveoalba,NBRC 15239,GCF_001570405.1,2118
271375683,RefSeq,NZ_FTMR01000007.1,3114,5222,+,WP_149746733.1,right-handed parallel beta-helix repeat-containing protein,Rhizobium sp. RU35A,RU35A,GCF_900156005.1,2109
165362397,INSDC,NYZC01000002.1,5139,7301,-,MAE62671.1,hypothetical protein,Phycisphaeraceae bacterium,,GCA_002686995.1,2163
276241259,RefSeq,NZ_WEZG01000004.1,210260,212407,+,WP_152046361.1,glycosyl hydrolase family 28-related protein,Aureimonas psammosilenae,YIM DR1026,GCF_009176975.1,2148
350587456,RefSeq,NZ_JACHOS010000005.1,52603,54933,+,WP_183667427.1,hypothetical protein,Methylorubrum rhodesianum,DSM 5687,GCF_014199985.1,2331
704944164,RefSeq,NZ_CP130318.1,3407660,3410002,-,WP_315602763.1,glycosyl hydrolase family 28-related protein,Paenibacillus aurantius,MBLB1776,GCF_032268605.1,2343
799422534,INSDC,DASXUX010000095.1,516966,519290,+,HEY3324654.1,glycosyl hydrolase family 28-related protein,Planctomycetota bacterium,,GCA_036504595.1,2325
842491771,RefSeq,NZ_JBCIVJ010000001.1,316643,318988,-,WP_343193047.1,glycosyl hydrolase family 28-related protein,Phytobacter palmae,PSU_29,GCF_039409775.1,2346
473439660,INSDC,JAFDGA010000022.1,977,3358,+,MBW2135159.1,hypothetical protein,Deltaproteobacteria bacterium,,GCA_019309545.1,2382
416780276,RefSeq,NZ_JAFFQY010000063.1,115495,117888,-,WP_206935742.1,glycosyl hydrolase family 28-related protein,Roseococcus thiosulfatophilus,RB-3,GCF_017311575.1,2394
486462394,RefSeq,NZ_JAIQXE010000002.1,708297,710663,+,WP_224117378.1,glycoside hydrolase family 55 protein,Flavihumibacter profundi,KCTC 62290,GCF_020076305.1,2367
530460876,INSDC,MU278360.1,527541,531001,-,KAI0341762.1,"exo-beta-1,3-glucanase",Trametopsis cervina,BRFM 1824,GCA_022385755.1,3461
463716156,INSDC,BK052355.1,4400,6715,-,DAM64846.1,tail spike protein,Caudoviricetes sp.,,,2316
287922006,RefSeq,NZ_QTJU01000008.1,168623,170893,-,WP_158559341.1,right-handed parallel beta-helix repeat-containing protein,Deminuibacter soli,K23C18032701,GCF_003412455.1,2271
410996301,INSDC,JAFGRS010000692.1,113,2395,-,MBN2451608.1,hypothetical protein,Lentisphaeria bacterium,,GCA_016935045.1,2283
175014474,RefSeq,NW_020194667.1,1856380,1858836,+,XP_024729945.1,glycoside hydrolase family 55 protein,Hyaloscypha bicolor E,E,GCF_002865645.1,2457
800393893,INSDC,DASXVN010000054.1,5107,7368,+,HEY3398177.1,glycosyl hydrolase family 28-related protein,Armatimonadota bacterium,,GCA_036504235.1,2262
380413128,RefSeq,NZ_CP036433.1,549121,551379,+,WP_197442930.1,glycosyl hydrolase family 28-related protein,Lignipirellula cremea,Pla85_3_4,GCF_007751035.1,2259
752578939,INSDC,DATJNL010000546.1,291,2597,+,HUB10295.1,glycosyl hydrolase family 28-related protein,Myxococcales bacterium,,GCA_035508175.1,2307
644600639,RefSeq,NZ_CP121644.1,5158282,5160588,-,WP_283016487.1,carbohydrate-binding protein,Bradyrhizobium barranii,CC1502,GCF_029714225.1,2307
354891529,INSDC,JACMLY010000015.1,3107,5422,+,MBC7826428.1,hypothetical protein,Chitinophagaceae bacterium,,GCA_014379345.1,2316
598206309,INSDC,JAPLCQ010000011.1,38326,40635,+,MCX6358263.1,glycosyl hydrolase family 28-related protein,Armatimonadota bacterium,,GCA_026392115.1,2310
854474252,INSDC,JBDUAY010000030.1,16431,18728,-,MEP6746848.1,glycosyl hydrolase family 28-related protein,Bacteroidota bacterium,,GCA_040004415.1,2298
799494502,INSDC,DASXUY010000040.1,588708,591011,+,HEY3331543.1,glycosyl hydrolase family 28-related protein,Capsulimonadaceae bacterium,,GCA_036504535.1,2304
804038177,RefSeq,NZ_JAZGGR010000010.1,48752,50680,+,WP_331369422.1,hypothetical protein,Methylobacterium ajmalii,,GCF_036480535.1,1929
828144187,INSDC,BK066403.1,8581,13323,-,DBA47008.1,Terminal,Adenovirus myodes38640,,,4743
82779704,RefSeq,NZ_CP010904.1,2521222,2523141,-,WP_052882610.1,LamG-like jellyroll fold domain-containing protein,Kiritimatiella glycovorans,L21-Fru-AB,GCF_001017655.1,1920
322614616,RefSeq,NC_076486.1,7673,12479,-,YP_010798521.1,pTP,Bearded dragon adenovirus 1,BD5H2,GCF_018591195.1,4807
746778945,INSDC,DAORWC010000233.1,777,2738,-,HQX63121.1,glycosyl hydrolase family 28-related protein,Thermomicrobiales bacterium,,GCA_035434065.1,1962
766964711,INSDC,DASRDU010000123.1,8993,10954,-,HZS07951.1,right-handed parallel beta-helix repeat-containing protein,Blastocatellia bacterium,,GCA_035652435.1,1962
672949051,RefSeq,NZ_JAUJQE010000004.1,364805,366766,+,WP_301776508.1,glycosyl hydrolase family 28-related protein,Burkholderia sp. AU45274,AU45274,GCF_030482505.1,1962
1148413,RefSeq,NC_001876.1,8009,9958,-,NP_046315.1,terminal protein,Bovine adenovirus 3,WBR-1,GCF_000844245.1,1950
179956,RefSeq,NC_002501.1,6692,10941,-,NP_062436.1,pTP,Frog adenovirus 1,,GCF_000844965.1,4250
113551306,RefSeq,NZ_LYXZ01000053.1,56175,58052,-,WP_068295560.1,hypothetical protein,Labrys sp. WJW,WJW,GCF_001676615.1,1878
239876630,RefSeq,NZ_SNVX01000001.1,169328,171214,-,WP_133459853.1,glycosyl hydrolase family 28-related protein,Scandinavium goeteborgense,BIGb0156,GCF_004361715.1,1887
313391931,RefSeq,NC_075973.1,8822,10705,-,YP_010796273.1,pre-terminal protein,Guinea pig adenovirus,AUS96,GCF_012552665.1,1884
467258851,INSDC,MZ333131.1,1377,3257,+,QXG07544.1,hypothetical protein,Erwinia phage Pecta,,GCA_023898925.1,1881
372755970,RefSeq,NC_054148.1,11067,12932,+,YP_010037978.1,pectin lyase activity,Burkholderia phage Mica,,GCF_015502035.1,1866
828146385,INSDC,BK066675.1,7719,9575,-,DBA49230.1,Terminal,Adenovirus varanus37597,,,1857
368930084,INSDC,SVSY01000040.1,12017,13891,+,MBE6593352.1,hypothetical protein,Oscillospiraceae bacterium,,GCA_015064065.1,1875
426481852,RefSeq,NZ_JAGIPY010000024.1,21202,23094,-,WP_209434112.1,hypothetical protein,Labrys sp. LIt4,LIt4,GCF_017813775.1,1893
703873984,RefSeq,NZ_DAMCBQ010000026.1,11077,12969,-,WP_312999615.1,glycosyl hydrolase family 28-related protein,Leclercia sp.,,GCF_032059085.1,1893
429717919,INSDC,JAGCXD010000163.1,238,2313,-,MBP5422379.1,hypothetical protein,Paludibacteraceae bacterium,,GCA_017961465.1,2076
649079415,INSDC,ON642334.1,13522,15597,-,WGL40795.1,terminal protein precursor,Tawny frogmouth aviadenovirus A,,,2076
211478696,RefSeq,NZ_CP022702.1,1485391,1487442,-,WP_119889787.1,glycosyl hydrolase family 28-related protein,Ralstonia pseudosolanacearum,T523,GCF_003595325.1,2052
612342285,RefSeq,NZ_JAQFAU010000002.1,129737,131791,+,WP_270582587.1,glycosyl hydrolase family 28-related protein,Enterobacter roggenkampii,OM15-89A,GCF_027691445.1,2055
639678413,INSDC,JARKIC010000380.1,75314,79435,+,KAJ7837014.1,"exo-beta-1,3-glucanase",Mycena olivaceomarginata,CBHHK47/15,GCA_029378375.1,4122
357139043,RefSeq,NZ_CAJPDG010000001.1,290673,292754,-,WP_321829449.1,glycosyl hydrolase family 28-related protein,Burkholderia cenocepacia,BCC0687,GCF_905337235.1,2082
285265933,RefSeq,NZ_CACSAS010000001.1,2067392,2069386,+,WP_159598741.1,glycosyl hydrolase family 28-related protein,Starkeya nomas,HF14-78462,GCF_902703545.1,1995
673398293,RefSeq,NZ_JAUJRI010000006.1,333616,335583,-,WP_302106725.1,right-handed parallel beta-helix repeat-containing protein,Burkholderia sp. AU44665,AU44665,GCF_030504405.1,1968
823317801,INSDC,OR998870.1,20734,22716,+,WXG22655.1,terminal protein,Bat mastadenovirus,,,1983
190313015,RefSeq,NZ_QJSQ01000015.1,157645,159663,-,WP_110855965.1,glycosyl hydrolase family 28-related protein,Paraburkholderia silvatlantica,SRCL-318,GCF_003217075.1,2019
334679890,RefSeq,NC_076126.1,3708,9541,-,YP_010796998.1,pTP,Red-eared slider adenovirus 1,,GCF_018577835.1,5834
800298819,INSDC,DASXVL010000386.1,116,3493,-,HEY3377837.1,glycosyl hydrolase family 28-related protein,Armatimonadota bacterium,,GCA_036504255.1,3378
896242918,INSDC,JBAZTQ010000018.1,157,3789,+,MFA6172769.1,glycosyl hydrolase family 28-related protein,Kiritimatiellales bacterium,,GCA_041661845.1,3633
602747870,INSDC,JAPLNJ010001226.1,20520,24089,+,MCY2996266.1,glycosyl hydrolase family 28-related protein,Planctomycetota bacterium,,GCA_026692885.1,3570
323177836,INSDC,JAAMPI010000147.1,36274,48007,+,KAF4634998.1,hypothetical protein,Cudoniella acicularis,DSM 108380,GCA_013054445.1,11734
197667613,RefSeq,NZ_QOWJ01000001.1,252816,257789,-,WP_114233743.1,Ig-like domain-containing protein,Paracnuella aquatica,N24,GCF_003332885.2,4974
166358728,INSDC,PAPZ01000020.1,10774,14868,+,MBB13003.1,hypothetical protein,Flavobacteriaceae bacterium,,GCA_002709145.1,4095
180747104,INSDC,NJPT01000023.1,69184,73718,-,PQE22120.1,Pectin lyase fold virulence factor protein,Rutstroemia sp. NJR-2017a BBW,NJR-2017a BBW,GCA_002946425.1,4535
427426141,RefSeq,NZ_JAGINP010000001.1,460790,464788,-,WP_209763115.1,glycosyl hydrolase family 28-related protein,Azospirillum rugosum,IMMIB AFH-6,GCF_017876155.1,3999
157358766,INSDC,NCAM01000214.1,2724,5282,+,OYV37435.1,hypothetical protein,Rhodospirillales bacterium 20-64-7,,GCA_002255195.1,2559
469314477,INSDC,ABBGAK010000009.1,146002,148539,+,EHT1484571.1,hypothetical protein,Salmonella enterica,PNUSAS211474,GCA_019193935.1,2538
254463965,RefSeq,NZ_VDDA01000002.1,152170,154668,+,WP_139034474.1,hypothetical protein,Methylobacterium terricola,17Sr1-39,GCF_006151805.1,2499
886165806,RefSeq,NZ_JBFTBT010000013.1,80926,83358,+,WP_369112787.1,tail fiber domain-containing protein,Citrobacter portucalensis,65_2,GCF_041023035.1,2433
543541822,RefSeq,NZ_LOKZ01000023.1,216422,218848,-,WP_245306879.1,glycosyl hydrolase family 28-related protein,Rhizobium sp. R711,R711,GCF_002211365.1,2427
503752793,INSDC,JADZCF010000067.1,7422,9857,+,MCC7169542.1,VCBS repeat-containing protein,Planctomycetota bacterium,,GCA_020851675.1,2436
139599467,INSDC,LVVK01000019.1,329642,332738,+,OPB39036.1,GH55 exo-1 3-beta-glucanase GLUC78,Trichoderma guizhouense,NJAU 4742,GCA_002022785.1,3097
547446729,INSDC,JAGLSB010000230.1,1196,3682,+,MCK4920434.1,hypothetical protein,Bacteroidales bacterium,,GCA_023135955.1,2487
715322196,INSDC,JAULSO010000001.1,13010023,13012693,-,KAK3695779.1,pectate lyase superfamily protein-domain-containing protein,Podospora appendiculata,CBS 314.62,GCA_033675105.1,2671
911956241,RefSeq,NZ_JBHXMC010000013.1,119225,122242,+,WP_383739622.1,glycosyl hydrolase family 28-related protein,Streptomyces sp. NPDC058466,NPDC058466,GCF_042720995.1,3018
126518645,RefSeq,NZ_FOCJ01000009.1,91098,94226,+,WP_143069322.1,right-handed parallel beta-helix repeat-containing protein,Paenibacillus sp. OV219,OV219,GCF_900110075.1,3129
599211564,INSDC,JAPLTZ010000432.1,4325,7051,+,MCX6896888.1,autotransporter-associated beta strand repeat-containing protein,Verrucomicrobiota bacterium,,GCA_026397895.1,2727
775271664,INSDC,JAVRRG010000237.1,19804,22470,+,KAK5075880.1,hypothetical protein,Lithohypha guttulata,CCFEE 5885,GCA_035927085.1,2667
295080146,INSDC,RGMK01000009.1,1,2693,+,NCY20494.1,hypothetical protein,bacterium,,GCA_010021885.1,2693
816073922,INSDC,PP352021.1,2414,4270,+,WWP49494.1,terminal protein precursor pTP,Adenoviridae sp.,,,1857
650697040,INSDC,JARYME010000014.1,26069,27325,-,MDH7601173.1,glycosyl hydrolase family 28-related protein,Armatimonadota bacterium,,GCA_029907315.1,1257
124404670,INSDC,MIAI01000201.1,5579,6835,+,OHC91028.1,hypothetical protein,Sphingomonadales bacterium GWF1_63_6,,GCA_001829045.1,1257
599210252,INSDC,JAPLTZ010000143.1,8725,9984,-,MCX6894949.1,glycosyl hydrolase family 28-related protein,Verrucomicrobiota bacterium,,GCA_026397895.1,1260
547925215,INSDC,JAGLGD010000014.1,658,1929,-,MCK5639207.1,hypothetical protein,Gammaproteobacteria bacterium,,GCA_023144235.1,1272
