## Wed Mar 12 03:12:31 2025
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_g9ib9qzm --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_g9ib9qzm --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_g9ib9qzm/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
KAK5075880.1	5970.XP_009157643.1	0.0	965.0	2CNC5@1|root,2QV54@2759|Eukaryota,39S8X@33154|Opisthokonta,3NW2N@4751|Fungi,3QMXN@4890|Ascomycota,20DN6@147545|Eurotiomycetes,3MPT2@451870|Chaetothyriomycetidae	4751|Fungi	O	Glucan 1,3-beta-glucosidase	-	-	3.2.1.58	ko:K01210	ko00500,map00500	-	R00308,R03115	RC00467	ko00000,ko00001,ko01000	-	-	-	Pectate_lyase_3
MDH7601173.1	278963.ATWD01000001_gene3347	4.94e-87	278.0	COG5434@1|root,COG5434@2|Bacteria	2|Bacteria	M	polygalacturonase activity	-	-	-	-	-	-	-	-	-	-	-	-	CBM-like,F5_F8_type_C,Pectate_lyase_3
OHC91028.1	1088721.NSU_0776	4.23e-24	112.0	2DNU8@1|root,32Z5M@2|Bacteria,1RGT6@1224|Proteobacteria,2UJGI@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UKM62970.1	60520.HR47_04400	7.22e-90	282.0	COG5434@1|root,COG5434@2|Bacteria,1VNJF@1239|Firmicutes,4HRXJ@91061|Bacilli	91061|Bacilli	M	Pectate lyase superfamily protein	-	-	-	-	-	-	-	-	-	-	-	-	F5_F8_type_C,Pectate_lyase_3
MSU42409.1	886293.Sinac_3948	4.81e-177	508.0	COG5434@1|root,COG5434@2|Bacteria,2IX4E@203682|Planctomycetes	203682|Planctomycetes	M	Periplasmic copper-binding protein (NosD)	-	-	-	-	-	-	-	-	-	-	-	-	Beta_helix,NosD,Pectate_lyase_3
WP_258215211.1	1449063.JMLS01000018_gene5830	7.02e-144	424.0	COG5434@1|root,COG5434@2|Bacteria,1TYS9@1239|Firmicutes,4I7XD@91061|Bacilli,26Y0R@186822|Paenibacillaceae	91061|Bacilli	M	Periplasmic copper-binding protein (NosD)	-	-	-	-	-	-	-	-	-	-	-	-	Beta_helix
MFJ9353769.1	1196323.ALKF01000191_gene5577	1.05e-09	68.9	COG5434@1|root,COG5434@2|Bacteria,1VKFF@1239|Firmicutes,4I02B@91061|Bacilli,270W1@186822|Paenibacillaceae	91061|Bacilli	M	Pectate lyase superfamily protein	-	-	-	-	-	-	-	-	-	-	-	-	Pectate_lyase_3
WP_399818354.1	1449347.JQLN01000004_gene7028	2.1e-34	142.0	2EK6T@1|root,33DX6@2|Bacteria,2IQ75@201174|Actinobacteria,2M5S0@2063|Kitasatospora	201174|Actinobacteria	S	Pectate lyase superfamily protein	-	-	-	-	-	-	-	-	-	-	-	-	Pectate_lyase_3
WP_036164993.1	1300345.LF41_1081	8.59e-273	745.0	COG5434@1|root,COG5434@2|Bacteria	2|Bacteria	M	polygalacturonase activity	-	-	-	-	-	-	-	-	-	-	-	-	Beta_helix,Glyco_hydro_28,Pectate_lyase_3
HEX3926295.1	1449347.JQLN01000004_gene7028	5.54e-52	191.0	2EK6T@1|root,33DX6@2|Bacteria,2IQ75@201174|Actinobacteria,2M5S0@2063|Kitasatospora	201174|Actinobacteria	S	Pectate lyase superfamily protein	-	-	-	-	-	-	-	-	-	-	-	-	Pectate_lyase_3
HJW46370.1	1300345.LF41_2339	3.03e-96	298.0	COG5434@1|root,COG5434@2|Bacteria	2|Bacteria	M	polygalacturonase activity	-	-	-	-	-	-	-	-	-	-	-	-	Beta_helix,Glyco_hydro_28,Pectate_lyase_3
MFB8830393.1	322710.Avin_51200	1.62e-242	684.0	COG2931@1|root,COG2931@2|Bacteria,1MU7T@1224|Proteobacteria,1RNK8@1236|Gammaproteobacteria	1236|Gammaproteobacteria	Q	COG2931 RTX toxins and related Ca2 -binding proteins	psmE	-	-	-	-	-	-	-	-	-	-	-	Beta_helix,Cadherin_3,DUF4114,He_PIG,HemolysinCabind,Pectate_lyase_3,Peptidase_M10,Peptidase_M10_C
WXG22927.1	727977.D3X7B4_9ADEN	7.16e-213	611.0	4QEN4@10239|Viruses,4QWYY@35237|dsDNA viruses  no RNA stage	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
WP_182551718.1	1041147.AUFB01000009_gene1856	1.1e-20	104.0	2DQJ1@1|root,3376F@2|Bacteria,1RKWB@1224|Proteobacteria,2UA4H@28211|Alphaproteobacteria,4BE0C@82115|Rhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Pectate_lyase_3
MCK4997175.1	1441930.Z042_23740	3.53e-12	77.4	2DR7D@1|root,33AJ0@2|Bacteria	2|Bacteria	S	Pectate lyase superfamily protein	-	-	-	-	-	-	-	-	-	-	-	-	Pectate_lyase_3
WP_182551719.1	1041147.AUFB01000009_gene1856	7.46e-25	117.0	2DQJ1@1|root,3376F@2|Bacteria,1RKWB@1224|Proteobacteria,2UA4H@28211|Alphaproteobacteria,4BE0C@82115|Rhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Pectate_lyase_3
DBA47500.1	874272.A0A076FUL4_9ADEN	1.02e-200	582.0	4QEN4@10239|Viruses,4QWYY@35237|dsDNA viruses  no RNA stage	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
QTH80085.2	130329.O11415_9ADEN	4.09e-206	595.0	4QEN4@10239|Viruses,4QWYY@35237|dsDNA viruses  no RNA stage	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
YP_009032608.1	943083.A0A059XJ38_9ADEN	0.0	1201.0	4QEN4@10239|Viruses,4QWYY@35237|dsDNA viruses  no RNA stage	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
BBJ21541.1	1408258.U5NE01_9ADEN	1e-211	610.0	4QEN4@10239|Viruses,4QWYY@35237|dsDNA viruses  no RNA stage	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
HTB82130.1	1267534.KB906756_gene701	7.77e-211	606.0	COG5434@1|root,COG5434@2|Bacteria,3Y2SR@57723|Acidobacteria,2JIUJ@204432|Acidobacteriia	57723|Acidobacteria	M	Right handed beta helix region	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_hydro_28
NP_044703.1	130329.O11415_9ADEN	0.0	1125.0	4QEN4@10239|Viruses,4QWYY@35237|dsDNA viruses  no RNA stage	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
UZF96919.1	1641642.A0A0K0MGC8_9ADEN	1.23e-230	657.0	4QEN4@10239|Viruses	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
WRQ19809.1	1788435.A0A1B0UHX2_9ADEN	2.13e-157	470.0	4QEN4@10239|Viruses	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
UVZ42948.1	691961.B6SBM3_9ADEN	6.45e-228	650.0	4QEN4@10239|Viruses,4QWYY@35237|dsDNA viruses  no RNA stage	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
MEO1999289.1	344747.PM8797T_19994	8.45e-156	458.0	COG5434@1|root,COG5434@2|Bacteria,2IX4E@203682|Planctomycetes	203682|Planctomycetes	M	Periplasmic copper-binding protein (NosD)	-	-	-	-	-	-	-	-	-	-	-	-	Beta_helix,NosD,Pectate_lyase_3
WP_128408436.1	1041147.AUFB01000009_gene1856	4.62e-30	131.0	2DQJ1@1|root,3376F@2|Bacteria,1RKWB@1224|Proteobacteria,2UA4H@28211|Alphaproteobacteria,4BE0C@82115|Rhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Pectate_lyase_3
WP_274327636.1	1123508.JH636443_gene4557	1.18e-121	371.0	COG5434@1|root,COG5434@2|Bacteria,2IX4E@203682|Planctomycetes	203682|Planctomycetes	M	Periplasmic copper-binding protein (NosD)	-	-	-	-	-	-	-	-	-	-	-	-	Beta_helix,NosD,Pectate_lyase_3
HEY7148018.1	1382359.JIAL01000001_gene1907	7.4e-08	63.5	COG5434@1|root,COG5434@2|Bacteria,3Y2SR@57723|Acidobacteria,2JIUJ@204432|Acidobacteriia	204432|Acidobacteriia	M	Right handed beta helix region	-	-	-	-	-	-	-	-	-	-	-	-	Beta_helix,Pectate_lyase_3
HUT90058.1	344747.PM8797T_19994	9.21e-140	417.0	COG5434@1|root,COG5434@2|Bacteria,2IX4E@203682|Planctomycetes	203682|Planctomycetes	M	Periplasmic copper-binding protein (NosD)	-	-	-	-	-	-	-	-	-	-	-	-	Beta_helix,NosD,Pectate_lyase_3
HSE61122.1	227086.JGI_V11_34442	2.13e-08	65.1	292VX@1|root,2R9SM@2759|Eukaryota	2759|Eukaryota	S	Pectate lyase superfamily protein	-	-	-	-	-	-	-	-	-	-	-	-	Pectate_lyase_3
ADB16977.1	530564.Psta_2307	0.0	1042.0	COG5434@1|root,COG5434@2|Bacteria,2IX4E@203682|Planctomycetes	203682|Planctomycetes	M	Periplasmic copper-binding protein (NosD)	-	-	-	-	-	-	-	-	-	-	-	-	Beta_helix,NosD,Pectate_lyase_3
MBE45005.1	1357423.S5MCZ1_9CAUD	8.93e-39	140.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_098102510.1	513550.B6RT36_9VIRU	3.16e-143	406.0	4QB26@10239|Viruses,4QX0Y@35237|dsDNA viruses  no RNA stage,4QHUF@10656|Tectiviridae	10656|Tectiviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NP_194081.1	3702.AT4G23500.1	0.0	1013.0	COG5434@1|root,2QPMF@2759|Eukaryota,37NEB@33090|Viridiplantae,3G9HA@35493|Streptophyta,3HMIW@3699|Brassicales	35493|Streptophyta	G	Belongs to the glycosyl hydrolase 28 family	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_hydro_28,Pectate_lyase_3
WP_338012267.1	264730.PSPPH_2316	0.0	1018.0	COG1199@1|root,COG1199@2|Bacteria,1MVRJ@1224|Proteobacteria,1RQ7B@1236|Gammaproteobacteria,1Z57A@136849|Pseudomonas syringae group	1236|Gammaproteobacteria	KL	DEAD_2	-	-	3.6.4.12	ko:K10844	ko03022,ko03420,map03022,map03420	M00290	-	-	ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	DEAD_2,Helicase_C_2
HIG33163.1	1357423.S5MCZ1_9CAUD	1.06e-26	108.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_206662530.1	1121945.ATXS01000011_gene2849	4.41e-60	187.0	arCOG06440@1|root,arCOG06440@2157|Archaea,2XZDC@28890|Euryarchaeota,23WTH@183963|Halobacteria	183963|Halobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NP_199002.1	3702.AT5G41870.1	0.0	917.0	COG5434@1|root,2QVTN@2759|Eukaryota,37PF9@33090|Viridiplantae,3G9VW@35493|Streptophyta,3HSQN@3699|Brassicales	35493|Streptophyta	G	Glycoside hydrolase, family 28	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_hydro_28
WP_183704065.1	1396858.Q666_02975	0.0	1234.0	COG1199@1|root,COG1199@2|Bacteria,1MVRJ@1224|Proteobacteria,1RQ7B@1236|Gammaproteobacteria,464G6@72275|Alteromonadaceae	1236|Gammaproteobacteria	KL	COG1199 Rad3-related DNA helicases	-	-	3.6.4.12	ko:K10844	ko03022,ko03420,map03022,map03420	M00290	-	-	ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	DEAD_2,Helicase_C_2
HAV28919.1	1357423.S5MCZ1_9CAUD	9.18e-65	205.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NP_001101443.1	10116.ENSRNOP00000053484	1.87e-269	737.0	KOG4760@1|root,KOG4760@2759|Eukaryota,38GGP@33154|Opisthokonta,3BAJ9@33208|Metazoa,3D522@33213|Bilateria,485T4@7711|Chordata,494EX@7742|Vertebrata,3JBF6@40674|Mammalia,35DGJ@314146|Euarchontoglires,4PVVW@9989|Rodentia	33208|Metazoa	S	exonuclease	EXO5	GO:0003674,GO:0003824,GO:0004518,GO:0004527,GO:0004529,GO:0004536,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008296,GO:0008297,GO:0008310,GO:0008408,GO:0008409,GO:0009987,GO:0016787,GO:0016788,GO:0016796,GO:0016895,GO:0031974,GO:0031981,GO:0033554,GO:0034641,GO:0035312,GO:0036297,GO:0042802,GO:0042803,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0045145,GO:0046483,GO:0046983,GO:0048037,GO:0050896,GO:0051536,GO:0051539,GO:0051540,GO:0051716,GO:0070013,GO:0071704,GO:0090304,GO:0090305,GO:0140097,GO:1901360	-	ko:K17815	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	Exo5
THC42582.1	1502852.FG94_03183	0.0	1147.0	COG1199@1|root,COG1199@2|Bacteria,1MVRJ@1224|Proteobacteria,2VHYM@28216|Betaproteobacteria,473UW@75682|Oxalobacteraceae	28216|Betaproteobacteria	KL	DEAD_2	-	-	3.6.4.12	ko:K10844	ko03022,ko03420,map03022,map03420	M00290	-	-	ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	DEAD_2,Helicase_C_2
QOV03173.1	10524.B5SNR7_ADE41	5.61e-243	689.0	4QEN4@10239|Viruses,4QWYY@35237|dsDNA viruses  no RNA stage	10239|Viruses	S	Adenoviral DNA terminal protein	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0005488,GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039687,GO:0039693,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044204,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0051704,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
NP_001326406.1	3702.AT3G59850.1	1e-283	776.0	COG5434@1|root,2QRN7@2759|Eukaryota,37I95@33090|Viridiplantae,3G73I@35493|Streptophyta,3HWWQ@3699|Brassicales	35493|Streptophyta	G	Pectate lyase superfamily protein	-	-	3.2.1.15	ko:K01184	ko00040,ko01100,map00040,map01100	M00081	R01982,R02360	RC00049	ko00000,ko00001,ko00002,ko01000	-	-	-	Glyco_hydro_28
WP_059247683.1	711393.AYRX01000034_gene228	1.36e-279	774.0	29WBG@1|root,30HX1@2|Bacteria,2H97P@201174|Actinobacteria	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Pectate_lyase_3
ONM55825.1	4577.GRMZM2G137077_P01	0.0	926.0	COG5434@1|root,2QTKJ@2759|Eukaryota,37NT9@33090|Viridiplantae,3GGD0@35493|Streptophyta,3KUJK@4447|Liliopsida,3I4PZ@38820|Poales	35493|Streptophyta	G	Glycosyl hydrolases family 28	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_hydro_28,Pectate_lyase_3
MBV22937.1	445686.E3SKS5_9CAUD	9.19e-67	207.0	4QCA2@10239|Viruses,4QR42@28883|Caudovirales,4QIBD@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_211604782.1	242619.PG_2015	3.74e-120	343.0	COG1468@1|root,COG1468@2|Bacteria,4NM54@976|Bacteroidetes,2FS79@200643|Bacteroidia,22Y1G@171551|Porphyromonadaceae	976|Bacteroidetes	L	CRISPR-associated protein Cas4	cas4	-	3.1.12.1	ko:K07464	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	Cas_Cas4
MAS02251.1	1283076.M1ICK9_9CAUD	4.71e-42	145.0	4QH5K@10239|Viruses,4QWI8@35237|dsDNA viruses  no RNA stage,4QRZM@28883|Caudovirales,4QJPA@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MAT39601.1	444861.E3SP93_9CAUD	7.82e-76	235.0	4QH5K@10239|Viruses,4QWI8@35237|dsDNA viruses  no RNA stage,4QRZM@28883|Caudovirales	28883|Caudovirales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
KAH1229418.1	3847.GLYMA10G27840.3	0.0	960.0	COG5434@1|root,2QTPQ@2759|Eukaryota,37IYV@33090|Viridiplantae,3G7N7@35493|Streptophyta,4JJUR@91835|fabids	35493|Streptophyta	G	Glycosyl hydrolases family 28	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_hydro_28
WP_110024348.1	290315.Clim_0447	1.92e-102	298.0	COG1468@1|root,COG1468@2|Bacteria,1FF6N@1090|Chlorobi	1090|Chlorobi	L	TIGRFAM CRISPR-associated protein Cas4	-	-	3.1.12.1	ko:K07464	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	Cas_Cas4
OEL23358.1	38727.Pavir.Aa02727.1.p	9.97e-299	821.0	COG5434@1|root,2QVTN@2759|Eukaryota,37PF9@33090|Viridiplantae,3G9VW@35493|Streptophyta,3KWWM@4447|Liliopsida,3IB9I@38820|Poales	35493|Streptophyta	G	Glycosyl hydrolases family 28	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_hydro_28
WP_202546883.1	1303692.SFUL_4995	0.0	1039.0	COG0210@1|root,COG2887@1|root,COG0210@2|Bacteria,COG2887@2|Bacteria,2GM2E@201174|Actinobacteria	201174|Actinobacteria	L	Belongs to the helicase family. UvrD subfamily	uvrD2	-	3.6.4.12	ko:K03657	ko03420,ko03430,map03420,map03430	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	PDDEXK_1,UvrD-helicase,UvrD_C
MAG26630.1	1357423.S5MCZ1_9CAUD	2.42e-44	152.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
OQX56572.1	673860.AciM339_1218	0.0	1277.0	COG0210@1|root,arCOG00801@1|root,arCOG00798@2157|Archaea,arCOG00801@2157|Archaea,arCOG00802@2157|Archaea,2Y6Y9@28890|Euryarchaeota,3F3I9@33867|unclassified Euryarchaeota	28890|Euryarchaeota	L	UvrD/REP helicase N-terminal domain	-	-	3.6.4.12	ko:K03657	ko03420,ko03430,map03420,map03430	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	PDDEXK_1,UvrD-helicase,UvrD_C
NP_001354123.1	4577.GRMZM2G037431_P01	0.0	1054.0	COG5434@1|root,2QWCM@2759|Eukaryota,37SD7@33090|Viridiplantae,3GEWR@35493|Streptophyta,3KKVS@4447|Liliopsida,3IA7E@38820|Poales	35493|Streptophyta	G	Glycosyl hydrolases family 28	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_hydro_28,Pectate_lyase_3
KAG8122726.1	176946.XP_007435226.1	7.93e-179	505.0	KOG4760@1|root,KOG4760@2759|Eukaryota,38GGP@33154|Opisthokonta,3BAJ9@33208|Metazoa,3D522@33213|Bilateria,485T4@7711|Chordata,494EX@7742|Vertebrata	33208|Metazoa	S	exonuclease	EXO5	GO:0003674,GO:0003824,GO:0004518,GO:0004527,GO:0004529,GO:0004536,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008296,GO:0008297,GO:0008310,GO:0008408,GO:0008409,GO:0009987,GO:0016787,GO:0016788,GO:0016796,GO:0016895,GO:0031974,GO:0031981,GO:0033554,GO:0034641,GO:0035312,GO:0036297,GO:0042802,GO:0042803,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0045145,GO:0046483,GO:0046983,GO:0048037,GO:0050896,GO:0051536,GO:0051539,GO:0051540,GO:0051716,GO:0070013,GO:0071704,GO:0090304,GO:0090305,GO:0140097,GO:1901360	-	ko:K17815	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	Exo5
QMP83605.1	762660.E5EYS9_9CAUD	5.27e-23	101.0	4QH5K@10239|Viruses,4QWI8@35237|dsDNA viruses  no RNA stage,4QRZM@28883|Caudovirales,4QJPA@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_144291115.1	307240.Q5ILC8_9VIRU	8.91e-53	179.0	4QB26@10239|Viruses,4QX0Y@35237|dsDNA viruses  no RNA stage,4QHUF@10656|Tectiviridae	10656|Tectiviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_163953617.1	1123277.KB893228_gene2164	3.62e-129	369.0	28JM4@1|root,2Z9DP@2|Bacteria,4NK1M@976|Bacteroidetes,47P1U@768503|Cytophagia	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PCJ96787.1	1357423.S5MCZ1_9CAUD	9.67e-54	177.0	4QDKB@10239|Viruses,4QVIT@35237|dsDNA viruses  no RNA stage,4QPPF@28883|Caudovirales,4QINJ@10662|Myoviridae	10662|Myoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MBT8348585.1	1165841.SULAR_10014	3.23e-217	627.0	COG1074@1|root,COG1074@2|Bacteria,1MUTF@1224|Proteobacteria,42NKH@68525|delta/epsilon subdivisions,2YMVS@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	L	Belongs to the helicase family. UvrD subfamily	addA	-	3.1.11.5	ko:K03582	ko03440,map03440	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	Cas_Cas4,PDDEXK_1,UvrD-helicase,UvrD_C
