Unnamed: 0,Hit,GenBankID,aln_hit,%I,P(H),E-value,Bit-Score,len(Qry),len(aln),%aln,Taxonomy,TaxID,Database,Method,TP,superkingdom,realm,kingdom,phylum,class,order,family,genus,species,GenomeID,Cluster,Representative_ID,Cluster_Identity,Rep_Synonym_ID,Synonym_Identity,Synomym_E-value,Synonym_Bit-Score,IPG_ID,IPG_Synonym,IPG_len,IPG_Function,eggNOG_Annotation,COG_Category,Reference_GenomeID,IPG_Start,IPG_Stop,IPG_Strand,IPG_Organism,Assembly,Viral_Presence,PHROG_Nr_ORF,Min_Abs_Distance_TP,Mean_Distance_TP,Median_Distance_TP,pPolB,pPolB_distance,Polymerase,Pol_distance
770,MBC8442898.1,MBC8442898.1,179,18.436,1.0,3.23e-36,136.0,163,147,0.901840490797546,Pseudomonadota bacterium,1977087,nr,PSI-BLAST,DSL-LC02,Bacteria,Bacteria,Pseudomonadati,Pseudomonadota,,,,,Pseudomonadota bacterium,MBC8442898.1,354.0,MBC8442898.1,100.0,MBC8442898.1,100.0,0.0,,355706121.0,MBC8442898.1,765.0,hypothetical protein,,,JACNHO010000029.1,8606.0,9370.0,-,Pseudomonadota bacterium,GCA_014383535.1,,21.0,1.0,8.952380952380953,7.0,N,,-,
771,HBO18537.1,HBO18537.1,147,19.728,1.0,5.24e-36,132.0,163,116,0.711656441717791,Methylophilaceae bacterium,2030816,nr,PSI-BLAST,DSL-LC02,Bacteria,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,,Methylophilaceae bacterium,DOEL01000056.1,702.0,HBO18537.1,100.0,HBO18537.1,100.0,0.0,,206769879.0,HBO18537.1,501.0,hypothetical protein,-,-,DOEL01000056.1,1.0,501.0,+,Methylophilaceae bacterium,GCA_003533095.1,,2.0,1.0,1.5,1.5,N,,-,
772,NQX84187.1,NQX84187.1,191,18.325,1.0,5.38e-36,133.0,163,156,0.957055214723926,Mycoplasmataceae bacterium,2685873,nr,PSI-BLAST,DSL-LC02,Bacteria,Bacteria,Bacillati,Mycoplasmatota,Mollicutes,Mycoplasmatales,Mycoplasmataceae,,Mycoplasmataceae bacterium,JABSQC010000111.1,204.0,MBT69320.1,64.88,MBT69320.1,100.0,0.0,,168122422.0,MBT69320.1,627.0,hypothetical protein,,,PBYV01000032.1,13345.0,13971.0,-,Acidimicrobiaceae bacterium,GCA_002729765.1,,16.0,1.0,-4.5,-4.0,N,,-,
773,AOV58509.1,AOV58509.1,180,21.111,1.0,6.16e-36,134.0,163,159,0.975460122699386,Synechococcus phage S-CAM3,1883366,nr,PSI-BLAST,DSL-LC02,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Kyanoviridae,Charybdisvirus,Charybdisvirus scam3,AOV58509.1,207.0,AOV58509.1,100.0,AOV58509.1,100.0,0.0,,119616422.0,AOV58509.1,672.0,DNA end protector protein,-,-,KU686197.1,2566.0,3237.0,-,Synechococcus phage S-CAM3,GCA_002922125.1,,118.0,1.0,114.58474576271186,126.0,N,,-,
774,DAW98648.1,DAW98648.1,249,26.104,1.0,6.41e-36,139.0,273,244,0.893772893772894,Caudoviricetes sp.,2832643,nr,PSI-BLAST,WhyPhy,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Caudoviricetes sp.,BK026586.1,973.0,DAW98648.1,100.0,DAW98648.1,100.0,0.0,,466555568.0,DAW98648.1,744.0,terminal protein,,,BK026586.1,6163.0,6906.0,+,Caudoviricetes sp.,,,11.0,1.0,1.2727272727272727,2.0,N,,-,
775,HIG33163.1,HIG33163.1,186,16.129,1.0,8.37e-36,133.0,163,153,0.938650306748466,Flavobacteriales bacterium,2021391,nr,PSI-BLAST,DSL-LC02,Bacteria,Bacteria,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,,,Flavobacteriales bacterium,DUAO01000117.1,46.0,A0A836UG03,100.0,HIG33163.1,100.0,5.73e-146,414.0,320994392.0,HIG33163.1,606.0,hypothetical protein,-,-,DUAO01000117.1,4576.0,5181.0,+,Flavobacteriales bacterium,GCA_012960805.1,,7.0,1.0,-1.7142857142857142,-2.0,N,,-,
776,DAX35708.1,DAX35708.1,262,18.321,1.0,1.06e-35,138.0,259,238,0.918918918918919,Caudoviricetes sp.,2832643,nr,PSI-BLAST,Ayka,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Caudoviricetes sp.,DAX35708.1,81.0,DAX35708.1,100.0,DAX35708.1,100.0,0.0,,466584477.0,DAX35708.1,807.0,hypothetical protein,,,BK039347.1,13500.0,14306.0,-,Caudoviricetes sp.,,,6.0,4.0,-7.5,-6.5,N,,-,
777,DAU13338.1,DAU13338.1,164,15.854,1.0,1.14e-35,131.0,163,144,0.883435582822086,Caudoviricetes sp.,2832643,nr,PSI-BLAST,DSL-LC02,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Caudoviricetes sp.,BK050583.1,707.0,DAU13338.1,100.0,DAU13338.1,100.0,0.0,,465609845.0,DAU13338.1,516.0,DNA end protector protein,,,BK050583.1,27105.0,27620.0,+,Caudoviricetes sp.,,,18.0,4.0,-15.11111111111111,-14.5,N,,-,
778,CAB4162756.1,CAB4162756.1,168,16.071,1.0,1.14e-35,132.0,163,145,0.889570552147239,uncultured Caudovirales phage,2100421,nr,PSI-BLAST,DSL-LC02,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,uncultured Caudovirales phage,CAB4162756.1,778.0,CAB4162756.1,100.0,CAB4162756.1,100.0,0.0,,321599982.0,CAB4162756.1,567.0,DNA end protector protein,,,LR796734.1,63817.0,64383.0,-,uncultured Caudovirales phage,GCA_902988895.1,,103.0,1.0,15.611650485436892,34.0,N,,-,
779,MBT69320.1,MBT69320.1,195,19.487,1.0,1.16e-35,132.0,163,156,0.957055214723926,Acidimicrobiaceae bacterium,2024894,nr,PSI-BLAST,DSL-LC02,Bacteria,Bacteria,Bacillati,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,,Acidimicrobiaceae bacterium,MBT69320.1,204.0,MBT69320.1,100.0,MBT69320.1,100.0,0.0,,168122422.0,MBT69320.1,627.0,hypothetical protein,,,PBYV01000032.1,13345.0,13971.0,-,Acidimicrobiaceae bacterium,GCA_002729765.1,,16.0,1.0,-4.5,-4.0,N,,-,
780,DAW67272.1,DAW67272.1,255,18.431,1.0,1.3e-35,137.0,266,249,0.93609022556391,Caudoviricetes sp.,2832643,nr,PSI-BLAST,phi29,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Caudoviricetes sp.,BK037072.1,98.0,DAW67272.1,100.0,DAW67272.1,100.0,0.0,,466443873.0,DAW67272.1,714.0,DNA terminal protein,,,BK037072.1,3361.0,4074.0,+,Caudoviricetes sp.,,,10.0,1.0,4.5,4.0,N,,-,
781,A0A2I7QKZ0,MG592402,191,90.5,1.0,1.509e-35,1389.0,191,191,1.0,Vibrio phage 1.020.O._10N.222.48.A2,1881450,BFVD,FoldSeek,viph1008o,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,,Autolykiviridae,Paulavirus,Paulavirus viph1020o,MG592402,85.0,A0A2I7QKZ0,100.0,YP_010084159.1,90.052,6.99e-127,365.0,176252951.0,YP_010084159.1,576.0,putative terminal protein,,,NC_055063.1,3450.0,4025.0,-,Vibrio phage 1.044.O._10N.261.51.B8,GCF_003926855.1,,4.0,1.0,3.75,2.5,N,,-,
782,TXG86101.1,TXG86101.1,131,19.847,1.0,1.76e-35,132.0,163,109,0.668711656441718,Spirochaetota bacterium,2202144,nr,PSI-BLAST,DSL-LC02,Bacteria,Bacteria,Pseudomonadati,Spirochaetota,,,,,Spirochaetota bacterium,TXG86101.1,166.0,A0A5C7JWM2,100.0,TXG86101.1,100.0,7.73e-150,424.0,267729772.0,TXG86101.1,615.0,hypothetical protein,-,-,SSDU01000019.1,5654.0,6268.0,-,Spirochaetota bacterium,GCA_008011945.1,,9.0,1.0,4.444444444444445,1.0,N,,-,
783,DAH33774.1,DAH33774.1,175,14.286,1.0,1.82e-35,131.0,163,155,0.950920245398773,Caudoviricetes sp.,2832643,nr,PSI-BLAST,DSL-LC02,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Caudoviricetes sp.,BK018993.1,762.0,DAH33774.1,100.0,DAH33774.1,100.0,0.0,,462579930.0,DAH33774.1,558.0,DNA end protector protein,,,BK018993.1,15361.0,15918.0,+,Caudoviricetes sp.,,,16.0,1.0,-11.3125,-11.5,N,,-,
784,WP_384956834.1,WP_384956834.1,195,17.949,1.0,1.85e-35,135.0,245,183,0.746938775510204,Streptomyces sp. NPDC059122,3346732,nr,PSI-BLAST,Sato,Bacteria,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. NPDC059122,,5.0,WP_063336313.1,96.57,WP_063336313.1,100.0,0.0,,108190427.0,WP_063336313.1,804.0,hypothetical protein,,,NZ_JBDGIA010000015.1,1677.0,2480.0,+,Bacillus inaquosorum,GCF_040784945.1,,15.0,1.0,9.466666666666669,9.0,N,,-,
785,BCV07409.1,BCV07409.1,127,22.047,1.0,1.97e-35,129.0,163,125,0.766871165644172,Libanvirus sp.,2821413,nr,PSI-BLAST,DSL-LC02,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Kyanoviridae,Libanvirus,Libanvirus sp.,LC629609.1,290.0,A0A8S0I9W8,100.0,BCV07409.1,100.0,2.15e-81,243.0,450059164.0,BCV07409.1,351.0,hypothetical protein,-,-,LC629609.1,82984.0,83334.0,+,Libanvirus sp.,GCA_018448685.1,,127.0,1.0,-22.023622047244096,-30.0,N,,-,
786,XCO69798.1,XCO69798.1,141,18.44,1.0,2.2e-35,131.0,163,115,0.705521472392638,Klebsiella phage vB_KleM_kp20,3234012,nr,PSI-BLAST,DSL-LC02,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Straboviridae,Slopekvirus,Klebsiella phage vB_KleM_kp20,PP993148.1,8.0,QDH49043.1,75.46,QDH49043.1,100.0,0.0,,257956386.0,QDH49043.1,882.0,DNA end protector protein,-,-,MN038175.1,153890.0,154771.0,-,Pantoea phage Phynn,GCA_006864765.1,,125.0,1.0,-125.888,-135.0,N,,-,
787,NWJ44037.1,NWJ44037.1,187,18.182,1.0,2.66e-35,131.0,163,158,0.969325153374233,Marine Group I thaumarchaeote,2511932,nr,PSI-BLAST,DSL-LC02,Archaea,Archaea,Thermoproteati,Nitrososphaerota,,,,,Marine Group I thaumarchaeote,NWJ44037.1,24.0,A0A7K4MRX3,100.0,NWJ44037.1,100.0,1.38e-144,410.0,334895593.0,NWJ44037.1,603.0,hypothetical protein,,,JACASV010000094.1,1014.0,1616.0,-,Marine Group I thaumarchaeote,GCA_013390385.1,,3.0,1.0,-0.6666666666666666,-1.0,N,,-,
788,DAK11225.1,DAK11225.1,265,15.094,1.0,2.79e-35,137.0,264,240,0.909090909090909,Caudoviricetes sp.,2832643,nr,PSI-BLAST,Voltaire,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Caudoviricetes sp.,DAK11225.1,81.0,DAX35708.1,85.39,DAX35708.1,100.0,0.0,,466584477.0,DAX35708.1,807.0,hypothetical protein,,,BK039347.1,13500.0,14306.0,-,Caudoviricetes sp.,,,6.0,4.0,-7.5,-6.5,N,,-,
789,DAT96603.1,DAT96603.1,225,16.0,1.0,2.8400000000000004e-35,137.0,255,224,0.87843137254902,Caudoviricetes sp.,2832643,nr,PSI-BLAST,Curie,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Caudoviricetes sp.,DAT96603.1,245.0,DAG68199.1,73.82,DAG68199.1,100.0,0.0,,462405574.0,DAG68199.1,885.0,hypothetical protein,,,BK018514.1,963.0,1847.0,+,Caudoviricetes sp.,,,11.0,1.0,6.0,5.0,N,,-,
790,APQ44760.1,APQ44760.1,109,33.945,1.0,3.15e-35,139.0,295,107,0.36271186440678,Fowl adenovirus,1354736,nr,PSI-BLAST,PsAdv-3,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Fowl adenovirus,KY053091.1,23.0,AOC84064.1,92.31,AOC84064.1,100.0,0.0,,115142531.0,AOC84064.1,2211.0,pTP protein,Adenoviral DNA terminal protein,S,KX258422.1,11243.0,13453.0,-,Fowl aviadenovirus E,GCA_006436795.1,,2.0,1.0,-5.5,-5.5,Y,-1.0,phrog_1907,-1.0
791,DAF80527.1,DAF80527.1,295,15.932,1.0,3.19e-35,141.0,307,295,0.960912052117264,Caudoviricetes sp.,2832643,nr,PSI-BLAST,DLc1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Caudoviricetes sp.,BK017272.1,1798.0,DAF80527.1,100.0,DAF80527.1,100.0,0.0,,462635503.0,DAF80527.1,1080.0,terminal protein,,,BK017272.1,13962.0,15041.0,+,Caudoviricetes sp.,,,11.0,1.0,-10.0,-12.0,N,,-,
792,Q3T519,AY848685,259,96.9,1.0,3.3e-35,759.0,259,259,1.0,Enterobacteria phage PR3,318594,BFVD,FoldSeek,PRD1,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Kalamavirales,Tectiviridae,Alphatectivirus,Alphatectivirus PRD1,AY848685,199.0,AAX45555.1,99.61,AAX45555.1,100.0,0.0,,4115081.0,AAX45555.1,780.0,terminal protein,,,AY848684.1,234.0,1013.0,+,Enterobacteria phage L17,GCA_002600105.1,,19.0,1.0,16.42105263157895,18.0,N,,-,
793,MCG7944862.1,MCG7944862.1,162,19.753,1.0,3.33e-35,131.0,163,150,0.920245398773006,Candidatus Thiodiazotropha taylori,2792791,nr,PSI-BLAST,DSL-LC02,Bacteria,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,Candidatus Thiodiazotropha,Candidatus Thiodiazotropha taylori,JAEPCM010000016.1,756.0,MCG7944862.1,100.0,MCG7944862.1,100.0,0.0,,526347224.0,MCG7944862.1,561.0,hypothetical protein,,,JAEPCM010000016.1,58704.0,59264.0,+,Candidatus Thiodiazotropha taylori,GCA_016842685.1,,88.0,1.0,35.21590909090909,34.5,N,,-,
794,HET8688091.1,HET8688091.1,175,18.286,1.0,3.35e-35,131.0,163,148,0.907975460122699,Methanosarcina sp.,2213,nr,PSI-BLAST,DSL-LC02,Archaea,Archaea,Methanobacteriati,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp.,HET8688091.1,192.0,HET8685922.1,84.42,HET8685922.1,100.0,0.0,,770272292.0,HET8685922.1,606.0,hypothetical protein,,,DASSUK010000381.1,946.0,1551.0,-,Methanosarcina sp.,GCA_035707045.1,,1.0,1.0,-1.0,-1.0,N,,-,
795,J8L4N5,,245,99.1,1.0,3.5690000000000003e-35,1041.0,245,245,1.0,Bacillus cereus VD166,1053240,AFDB50,FoldSeek,Sato,Bacteria,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,DAX13020.1,DAX13020.1,271,18.45,1.0,4.3e-35,139.0,360,263,0.730555555555556,Caudoviricetes sp.,2832643,nr,PSI-BLAST,Av-1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Caudoviricetes sp.,DAX13020.1,415.0,DAX13020.1,100.0,DAX13020.1,100.0,0.0,,466566945.0,DAX13020.1,789.0,hypothetical protein,,,BK027990.1,13259.0,14047.0,-,Caudoviricetes sp.,,,11.0,1.0,-2.909090909090909,-2.0,N,,-,
797,WP_060812158.1,WP_060812158.1,264,21.97,1.0,4.860000000000001e-35,137.0,265,252,0.950943396226415,Enterococcus faecium,1352,nr,PSI-BLAST,GA1,Bacteria,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,,21.0,WP_060812158.1,100.0,WP_060812158.1,100.0,0.0,,103325577.0,WP_060812158.1,846.0,hypothetical protein,,,NZ_LNMB01000058.1,1809.0,2654.0,+,Enterococcus faecium,GCF_001545895.1,,16.0,1.0,7.4375,7.5,N,,-,
798,MBT4662206.1,MBT4662206.1,194,16.495,1.0,5.490000000000001e-35,131.0,163,161,0.987730061349693,Fidelibacterota bacterium,2026760,nr,PSI-BLAST,DSL-LC02,Bacteria,Bacteria,Pseudomonadati,Fidelibacterota,,,,,Fidelibacterota bacterium,JABHWO010000308.1,24.0,A0A7K4MRX3,85.0,NWJ44037.1,100.0,1.38e-144,410.0,334895593.0,NWJ44037.1,603.0,hypothetical protein,,,JACASV010000094.1,1014.0,1616.0,-,Marine Group I thaumarchaeote,GCA_013390385.1,,3.0,1.0,-0.6666666666666666,-1.0,N,,-,
799,MCK5020963.1,MCK5020963.1,152,18.421,1.0,7.86e-35,130.0,163,131,0.803680981595092,Candidatus Peribacteraceae bacterium,2735830,nr,PSI-BLAST,DSL-LC02,Bacteria,Bacteria,,Candidatus Peregrinibacteria,Candidatus Peribacteria,Candidatus Peribacterales,,,Candidatus Peribacteraceae bacterium,JAGLQU010000910.1,679.0,MCK5020963.1,100.0,MCK5020963.1,100.0,0.0,,547315557.0,MCK5020963.1,552.0,hypothetical protein,,,JAGLQU010000910.1,1849.0,2400.0,+,Candidatus Peribacteraceae bacterium,GCA_023136675.1,,3.0,1.0,-2.0,-2.0,N,,-,
800,HET8685922.1,HET8685922.1,175,17.143,1.0,8.610000000000001e-35,130.0,163,148,0.907975460122699,Methanosarcina sp.,2213,nr,PSI-BLAST,DSL-LC02,Archaea,Archaea,Methanobacteriati,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp.,HET8685922.1,192.0,HET8685922.1,100.0,HET8685922.1,100.0,0.0,,770272292.0,HET8685922.1,606.0,hypothetical protein,,,DASSUK010000381.1,946.0,1551.0,-,Methanosarcina sp.,GCA_035707045.1,,1.0,1.0,-1.0,-1.0,N,,-,
801,DAJ95883.1,DAJ95883.1,234,18.376,1.0,8.91e-35,136.0,259,215,0.83011583011583,Caudoviricetes sp.,2832643,nr,PSI-BLAST,Ayka,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Caudoviricetes sp.,BK050059.1,81.0,DAX35708.1,86.14,DAX35708.1,100.0,0.0,,466584477.0,DAX35708.1,807.0,hypothetical protein,,,BK039347.1,13500.0,14306.0,-,Caudoviricetes sp.,,,6.0,4.0,-7.5,-6.5,N,,-,
802,DAM29426.1,DAM29426.1,253,15.415,1.0,9.25e-35,135.0,266,247,0.928571428571429,Caudoviricetes sp.,2832643,nr,PSI-BLAST,phi29,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Caudoviricetes sp.,DAM29426.1,1000.0,DAM29426.1,100.0,DAM29426.1,100.0,0.0,,463684440.0,DAM29426.1,723.0,hypothetical protein,NOVTOAE9,,BK051648.1,13368.0,14090.0,-,Caudoviricetes sp.,,,17.0,1.0,-4.823529411764706,-5.0,N,,-,
803,MEG1299209.1,MEG1299209.1,171,19.298,1.0,1e-34,129.0,163,147,0.901840490797546,Erysipelotrichaceae bacterium,2049044,nr,PSI-BLAST,DSL-LC02,Bacteria,Bacteria,Bacillati,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,,Erysipelotrichaceae bacterium,JAVXLF010000001.1,763.0,MEG1299209.1,100.0,MEG1299209.1,100.0,0.0,,809519023.0,MEG1299209.1,558.0,hypothetical protein,,,JAVXLF010000001.1,100166.0,100723.0,+,Erysipelotrichaceae bacterium,GCA_036646975.1,,111.0,1.0,67.87387387387388,31.0,N,,-,
804,WP_382129069.1,WP_382129069.1,214,22.897,1.0,1.09e-34,134.0,245,180,0.73469387755102,Streptomyces anulatus,1892,nr,PSI-BLAST,Bam35,Bacteria,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces anulatus,,5.0,WP_063336313.1,96.1,WP_063336313.1,100.0,0.0,,108190427.0,WP_063336313.1,804.0,hypothetical protein,,,NZ_JBDGIA010000015.1,1677.0,2480.0,+,Bacillus inaquosorum,GCF_040784945.1,,15.0,1.0,9.466666666666669,9.0,N,,-,
805,BCU98664.1,BCU98664.1,137,27.007,1.0,1.12e-34,129.0,163,136,0.834355828220859,Eurybiavirus sp.,2821410,nr,PSI-BLAST,DSL-LC02,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Eurybiavirus,Eurybiavirus sp.,LC629477.1,862.0,BCU98664.1,100.0,BCU98664.1,100.0,0.0,,450047385.0,BCU98664.1,483.0,hypothetical protein,,,LC629477.1,31540.0,32022.0,+,Eurybiavirus sp.,GCA_018448635.1,,76.0,1.0,37.80263157894737,28.5,N,,-,
806,DAV92706.1,DAV92706.1,172,15.698,1.0,1.21e-34,131.0,163,153,0.938650306748466,Caudoviricetes sp.,2832643,nr,PSI-BLAST,DSL-LC02,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Caudoviricetes sp.,BK029353.1,283.0,DAV92706.1,100.0,DAV92706.1,100.0,0.0,,466510722.0,DAV92706.1,738.0,DNA end protector protein,,,BK029353.1,9242.0,9979.0,+,Caudoviricetes sp.,,,6.0,4.0,3.333333333333333,5.5,N,,-,
807,WP_377554628.1,WP_377554628.1,249,17.269,1.0,1.37e-34,134.0,245,231,0.942857142857143,Priestia megaterium,1404,nr,PSI-BLAST,Sato,Bacteria,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Priestia,Priestia megaterium,,345.0,WP_377554628.1,100.0,WP_377554628.1,100.0,0.0,,917759695.0,WP_377554628.1,769.0,hypothetical protein,,,NZ_JBHVHM010000182.1,1.0,769.0,+,Priestia megaterium,GCF_042800115.1,,,,,,,,,
808,DAI10712.1,DAI10712.1,172,15.116,1.0,1.48e-34,130.0,163,153,0.938650306748466,Caudoviricetes sp.,2832643,nr,PSI-BLAST,DSL-LC02,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Caudoviricetes sp.,DAI10712.1,283.0,DAV92706.1,96.68,DAV92706.1,100.0,0.0,,466510722.0,DAV92706.1,738.0,DNA end protector protein,,,BK029353.1,9242.0,9979.0,+,Caudoviricetes sp.,,,6.0,4.0,3.333333333333333,5.5,N,,-,
809,MCH2508301.1,MCH2508301.1,195,17.949,1.0,2.2499999999999998e-34,129.0,163,159,0.975460122699386,Dehalococcoidia bacterium,2026734,nr,PSI-BLAST,DSL-LC02,Bacteria,Bacteria,Bacillati,Chloroflexota,Dehalococcoidia,,,,Dehalococcoidia bacterium,MCH2508301.1,79.0,MCH2508301.1,100.0,MCH2508301.1,100.0,0.0,,528567397.0,MCH2508301.1,627.0,hypothetical protein,,,JAKUQG010000212.1,130.0,756.0,-,Dehalococcoidia bacterium,GCA_022450315.1,,2.0,1.0,1.5,1.5,N,,-,
810,HAI43122.1,HAI43122.1,138,11.594,1.0,2.67e-34,127.0,163,114,0.699386503067485,Maribacter sp.,1897614,nr,PSI-BLAST,DSL-LC02,Bacteria,Bacteria,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,Maribacter sp.,DMHR01001101.1,886.0,HAI43122.1,100.0,HAI43122.1,100.0,0.0,,203471054.0,HAI43122.1,467.0,hypothetical protein,-,-,DMHR01001101.1,1625.0,2091.0,+,Maribacter sp.,GCA_003450275.1,,6.0,1.0,1.1666666666666667,1.5,N,,-,
811,MDX1532762.1,MDX1532762.1,181,17.68,1.0,2.7699999999999997e-34,129.0,163,146,0.895705521472393,Nitrosopumilaceae archaeon,2202732,nr,PSI-BLAST,DSL-LC02,Archaea,Archaea,Thermoproteati,Nitrososphaerota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,,Nitrosopumilaceae archaeon,JAWWAS010000001.1,1095.0,MDX1532762.1,100.0,MDX1532762.1,100.0,0.0,,715865346.0,MDX1532762.1,645.0,hypothetical protein,-,-,JAWWAS010000001.1,128394.0,129038.0,+,Nitrosopumilaceae archaeon,GCA_033721355.1,,100.0,1.0,-57.77,-53.5,N,,-,
812,DAJ77184.1,DAJ77184.1,251,16.335,1.0,2.94e-34,134.0,259,227,0.876447876447876,Caudoviricetes sp.,2832643,nr,PSI-BLAST,Ayka,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Caudoviricetes sp.,BK049705.1,81.0,DAX35708.1,87.06,DAX35708.1,100.0,0.0,,466584477.0,DAX35708.1,807.0,hypothetical protein,,,BK039347.1,13500.0,14306.0,-,Caudoviricetes sp.,,,6.0,4.0,-7.5,-6.5,N,,-,
813,WNM55411.1,WNM55411.1,61,100.0,1.0,3.77e-34,124.0,167,61,0.365269461077844,Staphylococcus phage S-CoN_Ph29,3076586,nr,PSI-BLAST,St134,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Rountreeviridae,Andhravirus,Staphylococcus phage S-CoN_Ph29,WNM55411.1,20.0,A0A533HQX7,95.08,WP_313660235.1,98.204,4.14e-116,335.0,701727936.0,WP_313660235.1,504.0,hypothetical protein,,,NZ_JAVSPC010000041.1,2949.0,3452.0,+,Staphylococcus haemolyticus,GCF_032142435.1,,14.0,1.0,4.142857142857143,4.5,N,,-,
814,BCU97183.1,BCU97183.1,150,23.333,1.0,5.5799999999999995e-34,127.0,163,147,0.901840490797546,uncultured marine virus,186617,nr,PSI-BLAST,DSL-LC02,Viruses,,,,,,,,uncultured marine virus,LC629469.1,851.0,BCU97183.1,100.0,BCU97183.1,100.0,0.0,,450045351.0,BCU97183.1,474.0,hypothetical protein,,,LC629469.1,69646.0,70119.0,+,uncultured marine virus,GCA_018443235.1,,100.0,1.0,-39.25,-39.5,N,,-,
815,MBR3117556.1,MBR3117556.1,253,16.206,1.0,5.6199999999999996e-34,133.0,265,250,0.943396226415094,Bacilli bacterium,1903720,nr,PSI-BLAST,GA1,Bacteria,Bacteria,Bacillati,Bacillota,Bacilli,,,,Bacilli bacterium,JAFWJA010000022.1,419.0,MBR3117556.1,100.0,MBR3117556.1,100.0,0.0,,442428701.0,MBR3117556.1,753.0,hypothetical protein,,,JAFWJA010000022.1,1012.0,1764.0,+,Bacilli bacterium,GCA_017511805.1,,12.0,1.0,7.666666666666667,6.5,N,,-,
816,A0A6B9SZ48,MN857617,265,88.6,1.0,5.7720000000000014e-34,1610.0,265,265,1.0,Gaunavirus SRT01hs,2495532,BFVD,FoldSeek,GA1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Salasmaviridae,Gaunavirus,Gaunavirus SRT01hs,MN857617,82.0,NP_073686.1,89.02,NP_073686.1,100.0,0.0,,152305.0,NP_073686.1,798.0,DNA terminal protein,,,NC_002649.1,4529.0,5326.0,-,Bacillus phage GA1,GCF_000858305.1,,16.0,1.0,6.5625,6.5,N,,-,
